beta,total_infected
0.02,0.0006110370394085643
0.04,0.0007497768917052111
0.06,0.0009280521135673313
0.08,0.0011655385403560878
0.1,0.0014975009801813084
0.12,0.0019937010110175355
0.14,0.002811134730076377
0.16,0.004363285414713296
0.18,0.007931252193407146
0.2,0.01797630191789222
0.22,0.04975067262842259
0.24,0.1393202497533313
0.26,0.29953051003343284
0.28,0.45715661468285856
0.3,0.5671377591669601
0.32,0.6420440980228662
0.34,0.6975800347297476
0.36,0.7416656313991532
0.38,0.7779934615920286
0.4,0.808507571216222
0.42,0.834410334635238
0.44,0.8565442263012163
0.46,0.8755459816146481
0.48,0.8919175046426685
0.5,0.9060639696354298
0.52,0.9183173399848258
0.54,0.9289524087840132
0.56,0.9381984520009852
0.58,0.9462480254708052
0.6,0.9532637669721075
0.62,0.9593837411313308
0.64,0.9647256890747187
0.66,0.969390438935283
0.68,0.9734646645148198
0.7000000000000001,0.9770231321652613
0.72,0.9801305423109966
0.74,0.9828430474595354
0.76,0.9852095102702059
0.78,0.9872725514701928
0.8,0.9890694268990001
0.8200000000000001,0.9906327648909642
0.84,0.9919911889218108
0.86,0.993169845547041
0.88,0.9941908539062262
0.9,0.9950736898227195
0.92,0.9958355151144481
0.9400000000000001,0.9964914614141724
0.96,0.9970548755945118
0.98,0.997537531543106
1.0,0.9979498139379818
