total_ord_inf,total_mis_inf,lambda,diff,total_inf,total_extra
0.28367714927847193,0.28367714927847193,1.0,0.0,0.5673542985569439,0.0
0.31717789931510953,0.3508166167627875,1.2,0.03363871744767799,0.6679945160778971,0.1006402175209532
0.3345387208536726,0.3944613077709021,1.4,0.059922586917229514,0.7290000286245747,0.16164573006763083
0.3451266363916419,0.42459121187094595,1.5999999999999999,0.07946457547930402,0.7697178482625879,0.20236354970564407
0.35214364827522,0.44588309003776455,1.7999999999999998,0.09373944176254456,0.7980267383129845,0.23067243975604068
0.3570055956771009,0.4610877702537625,1.9999999999999998,0.10408217457666163,0.8180933659308633,0.2507390673739195
0.36047062935973134,0.47201223454221386,2.1999999999999997,0.11154160518248252,0.8324828639019453,0.2651285653450014
0.3629910329253421,0.47989191593949215,2.3999999999999995,0.11690088301415003,0.8428829488648343,0.2755286503078904
0.36485422843878557,0.4855876207351046,2.5999999999999996,0.12073339229631902,0.8504418491738901,0.28308755061694624
0.3662506526242159,0.48970700519178934,2.8,0.12345635256757342,0.8559576578160053,0.28860335925906144
0.3673103579194692,0.4926836199493709,2.9999999999999996,0.12537326202990168,0.8599939778688401,0.2926396793118963
0.368552855475398,0.49588888825908956,3.33,0.12733603278369154,0.8644417437344876,0.2970874451775437
